date,SPY_close,QQQ_close
2025-07-17,625.97,544.74
2025-07-18,629.43,548.21
2025-07-21,632.10,551.68
2025-07-22,628.55,548.99
2025-07-23,631.87,553.12
2025-07-24,619.29,553.45
2025-07-25,622.44,556.78
2025-07-28,626.33,560.14
2025-07-29,630.89,564.52
2025-07-30,635.21,568.93
2025-07-31,638.44,572.67
2025-08-01,642.76,576.81
2025-08-04,640.12,574.23
2025-08-05,644.57,578.44
2025-08-06,648.33,582.76
2025-08-07,652.18,586.12
2025-08-08,655.74,590.33
2025-08-11,651.23,586.77
2025-08-12,654.89,590.44
2025-08-13,658.44,594.12
2025-08-14,662.17,598.34
2025-08-15,665.83,602.56
2025-08-18,669.44,606.78
2025-08-19,666.21,603.44
2025-08-20,670.55,607.89
2025-08-21,674.23,612.33
2025-08-22,677.88,615.77
2025-08-25,681.44,619.21
2025-08-26,678.22,616.44
2025-08-27,682.67,620.88
2025-08-28,686.33,624.32
2025-08-29,689.99,628.76
2025-09-02,686.77,625.44
2025-09-03,690.44,629.88
2025-09-04,694.11,634.32
2025-09-05,697.78,638.77
2025-09-08,694.56,635.44
2025-09-09,698.23,639.88
2025-09-10,701.89,644.32
2025-09-11,705.56,648.77
2025-09-12,709.23,653.21
2025-09-15,705.99,649.88
2025-09-16,709.67,654.32
2025-09-17,713.34,658.77
2025-09-18,717.01,663.21
2025-09-19,720.68,667.65
2025-09-22,717.45,664.32
2025-09-23,721.12,668.77
2025-09-24,724.79,673.21
2025-09-25,728.46,677.65
2025-09-26,732.13,682.09
2025-09-29,728.90,678.77
2025-09-30,732.57,683.21
2025-10-01,736.24,687.65
2025-10-02,739.91,692.09
2025-10-03,743.58,696.54
2025-10-06,740.35,693.21
2025-10-07,744.02,697.65
2025-10-08,747.69,702.09
2025-10-09,751.36,706.54
2025-10-10,754.84,710.98
2025-10-13,758.40,715.43
2025-10-14,755.21,712.11
2025-10-15,758.88,716.55
2025-10-16,762.55,720.99
2025-10-17,766.22,725.44
