date,SPY_close,QQQ_close
2025-06-26,601.0,548.5
2025-06-27,601.49,550.8
2025-06-30,603.81,551.58
2025-07-01,605.03,550.03
2025-07-02,604.34,551.44
2025-07-03,604.93,553.45
2025-07-07,608.59,554.04
2025-07-08,608.59,555.56
2025-07-09,608.27,556.39
2025-07-10,609.6,555.53
2025-07-11,609.45,556.81
2025-07-14,611.2,555.81
2025-07-15,612.31,558.23
2025-07-16,611.31,559.43
2025-07-17,612.03,559.15
2025-07-18,613.47,562.13
2025-07-21,614.89,561.22
2025-07-22,616.46,562.61
2025-07-23,616.14,563.65
2025-07-24,616.35,565.32
2025-07-25,619.07,563.44
2025-07-28,619.57,567.32
2025-07-29,620.38,566.89
2025-07-30,619.85,566.61
2025-07-31,621.5,568.0
2025-08-01,621.98,568.53
2025-08-04,622.23,568.94
2025-08-05,623.76,569.87
2025-08-06,623.43,569.84
2025-08-07,624.06,570.63
2025-08-08,624.22,571.46
2025-08-11,627.25,573.34
2025-08-12,626.25,571.28
2025-08-13,625.86,574.54
2025-08-14,627.67,571.39
2025-08-15,626.53,573.3
2025-08-18,628.8,575.02
2025-08-19,627.56,575.12
2025-08-20,628.43,574.7
2025-08-21,629.98,575.42
2025-08-22,630.78,575.54
2025-08-25,631.54,576.54
2025-08-26,631.72,578.15
2025-08-27,631.98,578.09
2025-08-28,631.48,577.54
2025-08-29,633.0,578.5
2025-09-02,634.15,580.2
2025-09-03,635.68,581.0
2025-09-04,635.51,581.2
2025-09-05,634.28,580.29
2025-09-08,637.0,581.6
2025-09-09,636.83,583.11
2025-09-10,636.98,583.35
2025-09-11,638.34,583.15
2025-09-12,639.04,583.63
2025-09-15,640.09,585.73
2025-09-16,639.11,584.45
2025-09-17,639.89,585.81
2025-09-18,640.75,585.51
2025-09-19,641.63,585.86
2025-09-22,641.63,588.09
2025-09-23,642.23,588.21
2025-09-24,641.9,588.56
2025-09-25,642.2,589.35
2025-09-26,644.13,588.58
2025-09-29,645.67,590.24
2025-09-30,645.0,590.0
2025-10-01,646.25,590.67
2025-10-02,646.22,590.66
2025-10-03,645.9,591.25
2025-10-06,648.09,592.85
2025-10-07,649.47,591.98
2025-10-08,648.71,594.96
2025-10-09,650.43,592.59
2025-10-10,647.64,592.79
2025-10-13,651.72,596.07
2025-10-14,651.62,596.13
2025-10-15,651.78,596.36
2025-10-16,652.56,596.76
2025-10-17,651.39,596.57
2025-10-20,654.18,596.94
2025-10-21,655.1,598.2
2025-10-22,656.45,597.91
2025-10-23,655.35,599.78
2025-10-24,655.59,599.16
2025-10-27,657.23,599.71
2025-10-28,658.82,600.55
2025-10-29,658.82,601.6
2025-10-30,658.61,601.1
2025-10-31,659.5,602.0
2025-11-03,661.34,603.51
2025-11-04,662.63,603.94
2025-11-05,661.89,603.68
2025-11-06,662.78,604.14
2025-11-07,663.31,605.21
2025-11-10,664.22,604.97
2025-11-11,666.22,605.43
2025-11-12,666.78,606.49
2025-11-13,667.16,607.38
2025-11-14,667.56,608.28
2025-11-17,668.38,610.63
2025-11-18,669.77,610.5
2025-11-19,670.42,610.0
2025-11-20,670.64,610.55
2025-11-21,671.74,610.08
2025-11-24,673.97,612.27
2025-11-25,675.76,612.45
2025-11-26,674.96,613.44
2025-12-01,677.64,614.21
2025-12-02,677.85,615.78
2025-12-03,676.83,617.04
2025-12-04,678.85,615.85
2025-12-05,679.4,616.64
2025-12-08,682.8,617.88
2025-12-09,681.11,617.2
2025-12-10,681.99,618.1
2025-12-11,682.19,618.23
2025-12-12,681.74,618.63
2025-12-15,685.07,618.8
2025-12-16,685.23,619.86
2025-12-17,685.74,620.63
2025-12-18,684.82,621.84
2025-12-19,687.2,621.71
2025-12-22,686.33,623.79
2025-12-23,687.96,622.11
2025-12-24,690.46,623.66
2025-12-26,689.22,624.49
2025-12-29,691.64,628.59
2025-12-30,692.89,626.5
2025-12-31,693.5,628.0
2026-01-02,692.97,628.33
2026-01-05,695.47,628.24
2026-01-06,694.91,630.2
2026-01-07,696.58,630.43
2026-01-08,695.8,631.74
2026-01-09,698.25,632.37
2026-01-12,697.44,635.18
2026-01-13,698.21,634.75
2026-01-14,699.55,633.75
2026-01-15,698.22,633.89
2026-01-16,699.82,635.67
2026-01-20,702.27,635.74
2026-01-21,700.2,639.2
2026-01-22,702.09,639.03
2026-01-23,702.54,637.9
2026-01-26,704.13,638.06
2026-01-27,702.81,641.45
2026-01-28,703.12,640.49
2026-01-29,705.06,642.24
2026-01-30,705.0,641.5
2026-02-02,706.5,642.15
2026-02-03,707.01,643.15
2026-02-04,706.57,643.6
2026-02-05,707.77,643.53
2026-02-06,708.25,644.98
2026-02-09,708.68,644.57
2026-02-10,711.3,645.88
2026-02-11,710.55,646.55
2026-02-12,709.56,647.34
2026-02-13,711.56,647.94
2026-02-17,711.88,647.8
2026-02-18,713.82,647.81
2026-02-19,714.56,650.96
2026-02-20,713.3,650.45
2026-02-23,716.11,650.63
2026-02-24,716.07,653.28
2026-02-25,716.85,652.29
2026-02-26,718.2,653.74
2026-02-27,717.0,653.0
2026-03-02,717.38,656.05
2026-03-03,717.61,656.1
2026-03-04,718.02,654.47
2026-03-05,719.0,656.02
2026-03-06,719.7,656.04
2026-03-09,720.68,657.79
2026-03-10,721.5,655.83
2026-03-11,721.14,657.8
2026-03-12,722.73,658.51
2026-03-13,721.58,656.08
2026-03-16,725.2,657.67
2026-03-17,723.73,657.17
2026-03-18,722.79,659.26
2026-03-19,722.94,660.59
2026-03-20,724.64,661.71
2026-03-23,725.06,661.32
2026-03-24,726.22,663.21
2026-03-25,726.35,660.57
2026-03-26,726.22,660.59
2026-03-27,725.89,662.57
2026-03-30,726.33,664.04
2026-03-31,728.0,664.0
2026-04-01,729.15,662.32
2026-04-02,728.99,664.68
2026-04-06,729.31,665.0
2026-04-07,730.95,667.35
2026-04-08,731.54,667.43
2026-04-09,730.82,666.51
2026-04-10,732.14,667.32
2026-04-13,733.25,667.92
2026-04-14,732.59,669.3
2026-04-15,734.32,670.71
2026-04-16,734.89,669.14
2026-04-17,735.75,671.02
2026-04-20,736.93,671.13
2026-04-21,735.18,671.25
2026-04-22,735.97,672.33
2026-04-23,737.66,671.77
2026-04-24,738.05,672.64
2026-04-27,739.26,673.14
2026-04-28,742.62,676.72
2026-04-29,740.11,675.15
2026-04-30,740.0,675.5
2026-05-01,741.24,677.25
2026-05-04,742.17,681.52
2026-05-05,741.7,682.95
2026-05-06,743.06,685.34
2026-05-07,742.09,687.02
2026-05-08,742.96,687.23
2026-05-11,743.93,691.78
2026-05-12,744.83,693.63
2026-05-13,747.22,693.05
2026-05-14,743.88,695.4
2026-05-15,746.56,699.95
2026-05-18,745.69,704.86
2026-05-19,747.11,704.39
2026-05-20,748.91,706.8
2026-05-21,748.39,708.05
2026-05-22,747.76,712.53
2026-05-26,749.67,716.6
2026-05-27,751.32,716.79
2026-05-28,750.45,717.44
2026-05-29,751.5,720.0
2026-06-01,758.22,739.23
2026-06-02,760.4,745.34
2026-06-03,761.24,742.18
2026-06-04,758.74,741.46
2026-06-05,755.21,739.4
2026-06-08,753.86,737.73
2026-06-09,751.98,735.26
2026-06-10,752.22,732.71
2026-06-11,749.62,732.76
2026-06-12,749.12,729.64
2026-06-15,746.32,723.89
2026-06-16,745.52,724.9
2026-06-17,742.56,722.25
2026-06-18,742.21,718.97
2026-06-22,737.62,713.57
2026-06-23,736.34,711.26
2026-06-24,735.8,710.62
2026-06-25,734.3,713.9
2026-06-26,733.94,712.18
2026-06-29,741.0,724.08
2026-06-30,746.79,732.49
2026-07-01,745.76,725.17
2026-07-02,744.78,712.6
2026-07-06,751.28,720.44
2026-07-07,748.55,722.82
2026-07-08,746.45,724.27
2026-07-09,749.80,726.10
2026-07-10,754.95,730.15
2026-07-13,753.40,723.80
2026-07-14,754.47,719.69
2026-07-15,754.81,728.70
2026-07-16,752.53,717.74
2026-07-17,742.37,696.22
2026-07-20,742.00,694.50
